Quantity, Name, CardNumber, Expansion Code, Expansion Name, PurchasePrice, Foil, Condition, Language, PurchaseDate, Single Current Price, Total Current Price
1,"Fearless Pup",136,khm,Kaldheim,0.08,true,NearMint,English,20211201,0.08,0.08
2,"Fearless Pup",136,khm,Kaldheim,0.02,false,NearMint,English,20211203,0.02,0.04
1,"Feed the Serpent",95,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
2,"Fire Giant's Fury",389,khm,Kaldheim,0.08,false,NearMint,English,20211129,0.08,0.16
1,"Firja, Judge of Valor",322,khm,Kaldheim,0.06,false,NearMint,English,20211129,0.07,0.07
1,"Forging the Tyrite Sword",211,khm,Kaldheim,0.09,false,NearMint,English,20211129,0.1,0.1
1,"Frenzied Raider",137,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
3,"Frost Augur",56,khm,Kaldheim,0.03,false,NearMint,English,20211130,0.03,0.09
2,"Frost Bite",404,khm,Kaldheim,0.52,false,NearMint,English,20211201,0.52,1.04
1,"Frost Bite",404,khm,Kaldheim,1.3,true,NearMint,English,20211203,1.3,1.3
3,"Frostpeak Yeti",57,khm,Kaldheim,0.04,false,NearMint,English,20211129,0.02,0.06
2,"Frostpyre Arcanist",58,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.02
2,"Funeral Longboat",238,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.02
2,"Giant Ox",11,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.02,0.04
2,"Giant's Amulet",59,khm,Kaldheim,0.04,false,NearMint,English,20211129,0.05,0.1
2,"Giant's Grasp",384,khm,Kaldheim,0.07,false,NearMint,English,20211129,0.08,0.16
1,"Gilded Assault Cart",390,khm,Kaldheim,0.06,false,NearMint,English,20211129,0.06,0.06
1,"Glacial Floodplain",257,khm,Kaldheim,0.2,false,NearMint,English,20211129,0.2,0.2
1,"Gladewalker Ritualist",392,khm,Kaldheim,0.03,false,NearMint,English,20211129,0.04,0.04
2,"Glimpse the Cosmos",60,khm,Kaldheim,0.06,false,NearMint,English,20211129,0.06,0.12
3,"Glittering Frost",171,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.01,0.03
1,"Glittering Frost",171,khm,Kaldheim,0.01,false,NearMint,English,20211201,0.01,0.01
2,"Gnottvold Recluse",172,khm,Kaldheim,0.01,false,NearMint,English,20211203,0.01,0.02
2,"Gnottvold Slumbermound",258,khm,Kaldheim,0.02,false,NearMint,English,20211202,0.02,0.04
3,"Gods' Hall Guardian",13,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.03
2,"Goldmaw Champion",14,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.02
1,"Goldvein Pick",239,khm,Kaldheim,0.11,false,NearMint,English,20211129,0.11,0.11
1,"Grim Draugr",96,khm,Kaldheim,0.04,true,NearMint,English,20211130,0.04,0.04
2,"Grim Draugr",96,khm,Kaldheim,0.01,false,NearMint,English,20211202,0.01,0.02
2,"Grizzled Outrider",173,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.02
2,"Guardian Gladewalker",174,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.01,0.02
1,"Hagi Mob",140,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
1,"Hailstorm Valkyrie",97,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.02,0.02
1,"Harald, King of Skemfar",212,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.02,0.02
1,"Harald, King of Skemfar",323,khm,Kaldheim,0.03,false,NearMint,English,20211202,0.03,0.03
1,"Hengegate Pathway",260,khm,Kaldheim,4.89,false,NearMint,English,20211129,4.85,4.85
2,"Highland Forest",261,khm,Kaldheim,0.38,false,NearMint,English,20211202,0.37,0.74
2,"Horizon Seeker",175,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.02
1,"Ice Tunnel",262,khm,Kaldheim,0.91,false,NearMint,English,20211129,0.9,0.9
1,"Icebind Pillar",62,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
3,"Icehide Troll",176,khm,Kaldheim,0.01,false,NearMint,English,20211203,0.01,0.03
2,"Icy Manalith Token",17,tkhm,Kaldheim Tokens,0.06,false,NearMint,English,20211129,0.05,0.1
1,"Immersturm Raider",141,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
1,"Infernal Pet",99,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.01
1,"Inga Rune-Eyes",304,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.02,0.02
2,"Invasion of the Giants",215,khm,Kaldheim,0.11,false,NearMint,English,20211129,0.07,0.14
2,"Invoke the Divine",16,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.02
3,"Iron Verdict",17,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.02,0.06
1,"Jarl of the Forsaken",100,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
2,"Jaspera Sentinel",178,khm,Kaldheim,0.1,false,NearMint,English,20211201,0.1,0.2
1,"Kardur, Doomscourge",324,khm,Kaldheim,0.26,true,NearMint,English,20211129,0.27,0.27
1,"Kardur, Doomscourge",324,khm,Kaldheim,0.13,false,NearMint,English,20211129,0.13,0.13
1,"Karfell Kennel-Master",101,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.01
2,"King Harald's Revenge",180,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.02
1,"King Narfi's Betrayal",219,khm,Kaldheim,0.14,false,NearMint,English,20211129,0.2,0.2
1,"Koll, the Forgemaster",325,khm,Kaldheim,0.07,false,NearMint,English,20211129,0.08,0.08
1,"Kolvori, God of Kinship",318,khm,Kaldheim,0.21,false,NearMint,English,20211129,0.21,0.21
1,"Koma's Faithful",102,khm,Kaldheim,0.01,false,NearMint,English,20211201,0.01,0.01
1,"Liliana's Devotee",298,m21,Core Set 2021,0.08,false,NearMint,English,20211129,0.08,0.08
1,"Littjara Glade-Warden",182,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
1,"Littjara Kinseekers",66,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
1,"Littjara Mirrorlake",264,khm,Kaldheim,0.25,false,NearMint,English,20211129,0.21,0.21
1,"Magda, Brazen Outlaw",142,pkhm,Kaldheim Promos,2.38,false,NearMint,English,20211203,2.38,2.38
2,"Maja, Bretagard Protector",222,khm,Kaldheim,0.11,false,NearMint,English,20211129,0.12,0.24
1,"Maja, Bretagard Protector",327,khm,Kaldheim,0.1,false,NearMint,English,20211129,0.1,0.1
2,"Mammoth Growth",183,khm,Kaldheim,0.01,false,NearMint,English,20211203,0.01,0.02
1,"Masked Vandal",184,khm,Kaldheim,0.2,false,NearMint,English,20211129,0.22,0.22
1,"Masked Vandal",184,khm,Kaldheim,0.22,false,NearMint,English,20211201,0.22,0.22
1,"Maskwood Nexus",369,khm,Kaldheim,4.8,false,NearMint,English,20211129,4.82,4.82
1,"Master Skald",19,khm,Kaldheim,0.02,true,NearMint,English,20211129,0.02,0.02
2,"Master Skald",19,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.02
1,"Mistgate Pathway",260,khm,Kaldheim,4.89,false,NearMint,English,20211129,4.85,4.85
1,"Mists of Littjara",67,khm,Kaldheim,0.01,false,NearMint,English,20211202,0.01,0.01
1,"Mistwalker",68,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
1,"Moritte of the Frost",223,khm,Kaldheim,0.1,false,NearMint,English,20211129,0.1,0.1
2,"Narfi, Betrayer King",224,khm,Kaldheim,0.09,false,NearMint,English,20211130,0.09,0.18
1,"Nightshade Peddler",187,avr,Avacyn Restored,0.08,false,NearMint,English,20211201,0.08,0.08
1,"Old-Growth Troll",365,khm,Kaldheim,0.71,false,NearMint,English,20211129,0.57,0.57
2,"Open the Omenpaths",143,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.02
1,"Orvar, the All-Form",305,khm,Kaldheim,2.04,false,NearMint,English,20211129,2.13,2.13
1,"Oubliette",100,2xm,Double Masters,0.98,false,NearMint,English,20211129,0.94,0.94
1,"Pilfering Hawk",71,khm,Kaldheim,0.07,true,NearMint,English,20211129,0.07,0.07
2,"Pilfering Hawk",71,khm,Kaldheim,0.01,false,NearMint,English,20211201,0.01,0.02
1,"Poison the Cup",103,khm,Kaldheim,0.22,false,NearMint,English,20211129,0.21,0.21
1,"Poison the Cup",103,khm,Kaldheim,0.23,true,NearMint,English,20211129,0.24,0.24
2,"Priest of the Haunted Edge",104,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.02
2,"Provoke the Trolls",144,khm,Kaldheim,0.01,false,NearMint,English,20211201,0.01,0.02
1,"Pyre of Heroes",370,khm,Kaldheim,1.53,false,NearMint,English,20211129,1.45,1.45
1,"Quakebringer",145,khm,Kaldheim,1.11,false,NearMint,English,20211202,1.08,1.08
2,"Raiders' Karve",242,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.02
1,"Raise the Draugr",105,khm,Kaldheim,0.02,false,NearMint,English,20211130,0.02,0.02
1,"Rally the Ranks",336,khm,Kaldheim,0.51,false,NearMint,English,20211129,0.53,0.53
2,"Raven Wings",243,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.02
2,"Ravenous Lindwurm",187,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.02
1,"Realmwalker",188,khm,Kaldheim,3.63,false,NearMint,English,20211130,3.87,3.87
1,"Reckless Crew",146,khm,Kaldheim,0.15,true,NearMint,English,20211129,0.15,0.15
1,"Reflections of Littjara",73,khm,Kaldheim,1.21,false,NearMint,English,20211129,1.22,1.22
1,"Reidane, God of the Worthy",21,khm,Kaldheim,0.92,false,NearMint,English,20211129,0.96,0.96
1,"Relentless Rats",329,tsr,Time Spiral Remastered,2.04,false,NearMint,English,20211129,1.94,1.94
1,"Replicating Ring",244,khm,Kaldheim,0.66,true,NearMint,English,20211129,0.65,0.65
2,"Replicating Ring",244,khm,Kaldheim,0.27,false,NearMint,English,20211129,0.24,0.48
1,"Replicating Ring",244,khm,Kaldheim,0.24,false,NearMint,English,20211130,0.24,0.24
1,"Return Upon the Tide",106,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.02,0.02
1,"Reveillark",31,uma,Ultimate Masters,0.61,false,NearMint,English,20211130,0.6,0.6
3,"Revitalize",23,khm,Kaldheim,0.03,false,NearMint,English,20211129,0.02,0.06
2,"Rimewood Falls",266,khm,Kaldheim,0.43,false,NearMint,English,20211129,0.51,1.02
1,"Rise of the Dread Marn",107,pkhm,Kaldheim Promos,1.97,false,NearMint,English,20211129,1.97,1.97
2,"Rootless Yew",189,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.02,0.04
2,"Roots of Wisdom",190,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.02
1,"Run Amok",147,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
1,"Run Ashore",74,khm,Kaldheim,0.05,true,NearMint,English,20211129,0.05,0.05
1,"Run Ashore",74,khm,Kaldheim,0.01,false,NearMint,English,20211202,0.01,0.01
1,"Rune of Flight",75,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.02,0.02
1,"Rune of Might",191,khm,Kaldheim,0.03,false,NearMint,English,20211129,0.02,0.02
1,"Rune of Speed",148,khm,Kaldheim,0.03,false,NearMint,English,20211129,0.03,0.03
1,"Rune of Sustenance",25,khm,Kaldheim,0.1,false,NearMint,English,20211129,0.1,0.1
1,"Runed Crown",245,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
1,"Sarulf's Packmate",192,khm,Kaldheim,0.06,false,NearMint,English,20211129,0.07,0.07
1,"Sarulf's Packmate",192,khm,Kaldheim,0.17,true,NearMint,English,20211129,0.17,0.17
1,"Sarulf's Packmate",192,khm,Kaldheim,0.07,false,NearMint,English,20211202,0.07,0.07
1,"Sarulf, Realm Eater",330,khm,Kaldheim,0.28,false,NearMint,English,20211129,0.26,0.26
2,"Sculptor of Winter",193,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.02,0.04
1,"Seize the Spoils",149,khm,Kaldheim,0.14,false,NearMint,English,20211201,0.15,0.15
2,"Shackles of Treachery",150,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.02
1,"Shard Token",1,tkhm,Kaldheim Tokens,0.25,false,NearMint,English,20211203,0.25,0.25
2,"Shimmerdrift Vale",267,khm,Kaldheim,0.1,false,NearMint,English,20211129,0.1,0.2
1,"Skemfar Avenger",109,khm,Kaldheim,0.24,true,NearMint,English,20211129,0.24,0.24
1,"Skemfar Avenger",355,khm,Kaldheim,0.27,false,NearMint,English,20211201,0.27,0.27
1,"Skemfar Elderhall",268,khm,Kaldheim,0.03,false,NearMint,English,20211129,0.03,0.03
1,"Skemfar Shadowsage",110,khm,Kaldheim,0.07,false,NearMint,English,20211129,0.07,0.07
1,"Skull Raid",111,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.01
1,"Smashing Success",151,khm,Kaldheim,0.06,true,NearMint,English,20211129,0.06,0.06
1,"Smashing Success",151,khm,Kaldheim,0.01,false,NearMint,English,20211201,0.01,0.01
2,"Snakeskin Veil",194,khm,Kaldheim,0.1,false,NearMint,English,20211129,0.1,0.2
1,"Snow-Covered Forest",285,khm,Kaldheim,1.01,true,NearMint,English,20211129,1.02,1.02
1,"Snow-Covered Forest",284,khm,Kaldheim,0.97,false,NearMint,English,20211129,0.88,0.88
1,"Snow-Covered Forest",285,khm,Kaldheim,0.91,false,NearMint,English,20211129,0.88,0.88
1,"Snow-Covered Island",279,khm,Kaldheim,1.35,false,NearMint,English,20211129,1.18,1.18
1,"Snow-Covered Island",278,khm,Kaldheim,1.08,false,NearMint,English,20211203,1.08,1.08
1,"Snow-Covered Mountain",283,khm,Kaldheim,0.5,false,NearMint,English,20211129,0.52,0.52
1,"Snow-Covered Mountain",283,khm,Kaldheim,0.52,false,NearMint,English,20211201,0.52,0.52
1,"Snow-Covered Mountain",282,khm,Kaldheim,0.56,false,NearMint,English,20211201,0.55,0.55
1,"Snow-Covered Plains",276,khm,Kaldheim,0.24,false,NearMint,English,20211129,0.24,0.24
1,"Snow-Covered Plains",277,khm,Kaldheim,0.29,true,NearMint,English,20211129,0.32,0.32
1,"Snow-Covered Plains",277,khm,Kaldheim,0.25,false,NearMint,English,20211130,0.25,0.25
1,"Snow-Covered Swamp",280,khm,Kaldheim,1.08,true,NearMint,English,20211129,1.1,1.1
1,"Snow-Covered Swamp",280,khm,Kaldheim,0.95,false,NearMint,English,20211129,0.86,0.86
1,"Snow-Covered Swamp",281,khm,Kaldheim,1.1,false,NearMint,English,20211130,1.06,1.06
1,"Snowfield Sinkhole",269,khm,Kaldheim,0.26,false,NearMint,English,20211129,0.27,0.27
3,"Spirit Token",4,tkhm,Kaldheim Tokens,0.11,false,NearMint,English,20211129,0.12,0.36
2,"Spirit of the Aldergard",195,khm,Kaldheim,0.05,false,NearMint,English,20211129,0.04,0.08
1,"Squash",152,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
2,"Stalwart Valkyrie",31,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.02
2,"Starnheim Courser",32,khm,Kaldheim,0.1,false,NearMint,English,20211130,0.1,0.2
2,"Story Seeker",34,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.02
1,"Strategic Planning",402,khm,Kaldheim,0.21,false,NearMint,English,20211202,0.21,0.21
2,"Struggle for Skemfar",196,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.02
1,"Sulfurous Mire",270,khm,Kaldheim,0.26,false,NearMint,English,20211129,0.29,0.29
1,"Sulfurous Mire",270,khm,Kaldheim,0.32,true,NearMint,English,20211130,0.32,0.32
1,"Surtland Elementalist",375,khm,Kaldheim,0.13,false,NearMint,English,20211129,0.13,0.13
2,"Surtland Frostpyre",271,khm,Kaldheim,0.05,false,NearMint,English,20211201,0.05,0.1
3,"Svella, Ice Shaper",230,khm,Kaldheim,0.04,false,NearMint,English,20211129,0.04,0.12
1,"Tergrid's Shadow",113,khm,Kaldheim,0.06,false,NearMint,English,20211129,0.06,0.06
2,"The Bloodsky Massacre",207,khm,Kaldheim,0.1,false,NearMint,English,20211129,0.1,0.2
1,"The Omenkeel",50,khm,Kaldheim,0.38,true,NearMint,English,20211129,0.36,0.36
1,"The Omenkeel",303,khm,Kaldheim,0.27,false,NearMint,English,20211201,0.26,0.26
1,"The Raven's Warning",227,khm,Kaldheim,0.1,false,NearMint,English,20211201,0.1,0.1
1,"The Ringhart Crest",318,khm,Kaldheim,0.21,false,NearMint,English,20211129,0.21,0.21
1,"Thornmantle Striker",387,khm,Kaldheim,0.04,false,NearMint,English,20211129,0.04,0.04
1,"Tibalt, Cosmic Impostor",114,khm,Kaldheim,9.53,false,NearMint,English,20211129,9.42,9.42
1,"Tidechannel Pathway",251,khm,Kaldheim,4.28,false,NearMint,English,20211129,4.25,4.25
1,"Tormentor's Helm",155,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
1,"Tormentor's Helm",155,khm,Kaldheim,0.06,true,NearMint,English,20211129,0.06,0.06
2,"Treasure Token",19,tkhm,Kaldheim Tokens,0.1,false,NearMint,English,20211129,0.11,0.22
1,"Troll Warrior Token",16,tkhm,Kaldheim Tokens,0.11,false,NearMint,English,20211129,0.11,0.11
1,"Tuskeri Firewalker",157,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
1,"Tyrite Sanctum",272,khm,Kaldheim,0.78,false,NearMint,English,20211130,0.8,0.8
1,"Undersea Invader",78,khm,Kaldheim,0.03,true,NearMint,English,20211129,0.03,0.03
1,"Undersea Invader",78,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
1,"Usher of the Fallen",35,khm,Kaldheim,0.22,false,NearMint,English,20211129,0.21,0.21
1,"Valki, God of Lies",114,khm,Kaldheim,9.53,false,NearMint,English,20211129,9.42,9.42
1,"Valkmira, Protector's Shield",21,khm,Kaldheim,0.92,false,NearMint,English,20211129,0.96,0.96
1,"Valkyrie Harbinger",374,khm,Kaldheim,3.22,false,NearMint,English,20211129,3.17,3.17
2,"Valor of the Worthy",37,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.02
1,"Vault Robber",158,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
1,"Village Rites",117,khm,Kaldheim,0.19,false,NearMint,English,20211130,0.19,0.19
1,"Volatile Fjord",273,khm,Kaldheim,0.43,true,NearMint,English,20211129,0.43,0.43
1,"Volatile Fjord",273,khm,Kaldheim,0.25,false,NearMint,English,20211129,0.24,0.24
1,"Vorinclex, Monstrous Raider",199,khm,Kaldheim,28.78,true,NearMint,English,20211129,25.73,25.73
2,"Warhorn Blast",38,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.02
1,"Weathered Runestone",247,khm,Kaldheim,0.05,false,NearMint,English,20211129,0.06,0.06
